date,home_team,score,away_team
26-02-2023,Pohang Steelers,3 - 2,Daegu FC
04-03-2023,Suwon City FC,1 - 2,Pohang Steelers
11-03-2023,Daejeon Citizen,0 - 0,Pohang Steelers
18-03-2023,Pohang Steelers,1 - 1,Gangwon FC
01-04-2023,Jeonbuk Motors,1 - 2,Pohang Steelers
08-04-2023,Pohang Steelers,2 - 0,Gwangju FC
15-04-2023,Pohang Steelers,1 - 1,FC Seoul
22-04-2023,Ulsan Hyundai FC,2 - 2,Pohang Steelers
25-04-2023,Pohang Steelers,1 - 0,Suwon Bluewings
30-04-2023,Pohang Steelers,0 - 2,Incheon United
06-05-2023,Jeju United FC,2 - 1,Pohang Steelers
09-05-2023,Daegu FC,1 - 1,Pohang Steelers
13-05-2023,Pohang Steelers,3 - 2,Daejeon Citizen
21-05-2023,Gangwon FC,0 - 0,Pohang Steelers
29-05-2023,Pohang Steelers,1 - 0,Jeonbuk Motors
03-06-2023,Gwangju FC,4 - 2,Pohang Steelers
06-06-2023,Pohang Steelers,2 - 1,Jeju United FC
11-06-2023,FC Seoul,1 - 1,Pohang Steelers
25-06-2023,Incheon United,0 - 1,Pohang Steelers
02-07-2023,Pohang Steelers,3 - 1,Suwon City FC
08-07-2023,Pohang Steelers,0 - 1,Ulsan Hyundai FC
12-07-2023,Suwon Bluewings,1 - 1,Pohang Steelers
16-07-2023,Pohang Steelers,4 - 2,Jeju United FC
21-07-2023,Pohang Steelers,2 - 1,Jeonbuk Motors
04-08-2023,FC Seoul,2 - 2,Pohang Steelers
13-08-2023,Pohang Steelers,1 - 1,Gwangju FC
20-08-2023,Pohang Steelers,4 - 3,Daejeon Citizen
26-08-2023,Gangwon FC,1 - 1,Pohang Steelers
02-09-2023,Incheon United,0 - 2,Pohang Steelers
16-09-2023,Pohang Steelers,2 - 0,Suwon City FC
24-09-2023,Daegu FC,0 - 0,Pohang Steelers
30-09-2023,Pohang Steelers,0 - 0,Ulsan Hyundai FC
08-10-2023,Suwon Bluewings,1 - 0,Pohang Steelers
20-10-2023,Pohang Steelers,1 - 1,Incheon United
